date,district,dumping_site,total_waste_tonnes,plastic_tonnes,plastic_percent,metal_tonnes,metal_percent,organic_tonnes,organic_percent,paper_tonnes,paper_percent,glass_tonnes,glass_percent
2025-04-13,Ablekuma North,North Dumping Site,25.67,0.32,1.2,3.4,13.2,14.66,57.1,3.12,12.2,4.18,16.3
2025-04-13,Ayawaso West,West Dumping Site,20.04,3.99,19.9,2.03,10.1,3.31,16.5,2.94,14.7,7.76,38.7
2025-04-14,Ablekuma North,North Dumping Site,31.57,4.15,13.1,2.67,8.5,7.97,25.2,5.58,17.7,11.21,35.5
2025-04-14,Ayawaso West,West Dumping Site,17.58,0.14,0.8,6.44,36.6,7.53,42.8,2.11,12.0,1.35,7.7
2025-04-15,Ablekuma North,North Dumping Site,27.85,3.8,13.6,0.58,2.1,7.95,28.5,5.68,20.4,9.84,35.3
2025-04-15,Ayawaso West,West Dumping Site,18.27,3.15,17.2,2.32,12.7,1.32,7.2,6.58,36.0,4.9,26.8
2025-04-16,Ablekuma North,North Dumping Site,28.54,13.23,46.4,0.49,1.7,2.73,9.6,1.45,5.1,10.62,37.2
2025-04-16,Ayawaso West,West Dumping Site,18.59,6.66,35.8,6.57,35.3,2.28,12.3,1.93,10.4,1.15,6.2
2025-04-17,Ablekuma North,North Dumping Site,25.02,5.13,20.5,10.15,40.6,6.64,26.5,1.0,4.0,2.1,8.4
2025-04-17,Ayawaso West,West Dumping Site,20.14,0.5,2.5,11.23,55.8,3.4,16.9,0.95,4.7,4.06,20.2
2025-04-18,Ablekuma North,North Dumping Site,20.4,0.59,2.9,5.43,26.6,3.58,17.6,7.22,35.4,3.58,17.6
2025-04-18,Ayawaso West,West Dumping Site,23.83,7.41,31.1,3.11,13.0,3.19,13.4,8.11,34.0,2.0,8.4
2025-04-19,Ablekuma North,North Dumping Site,26.94,16.0,59.4,3.15,11.7,1.93,7.2,0.19,0.7,5.67,21.0
2025-04-19,Ayawaso West,West Dumping Site,24.11,4.54,18.8,2.53,10.5,2.93,12.2,11.93,49.5,2.18,9.0
2025-04-20,Ablekuma North,North Dumping Site,29.51,2.26,7.7,4.35,14.7,8.86,30.0,13.34,45.2,0.71,2.4
2025-04-20,Ayawaso West,West Dumping Site,20.22,6.51,32.2,1.69,8.4,0.74,3.7,1.53,7.6,9.75,48.2
2025-04-21,Ablekuma North,North Dumping Site,18.8,11.56,61.5,3.16,16.8,0.91,4.8,1.59,8.5,1.58,8.4
2025-04-21,Ayawaso West,West Dumping Site,19.73,1.66,8.4,1.5,7.6,10.29,52.1,2.02,10.2,4.26,21.6
2025-04-22,Ablekuma North,North Dumping Site,24.81,15.79,63.6,2.71,10.9,3.06,12.3,0.6,2.4,2.65,10.7
2025-04-22,Ayawaso West,West Dumping Site,22.87,5.49,24.0,3.27,14.3,1.56,6.8,2.16,9.4,10.38,45.4
2025-04-23,Ablekuma North,North Dumping Site,23.34,3.62,15.5,6.07,26.0,0.21,0.9,8.32,35.6,5.12,21.9
2025-04-23,Ayawaso West,West Dumping Site,16.41,0.28,1.7,6.68,40.7,8.2,50.0,0.2,1.2,1.05,6.4
2025-04-24,Ablekuma North,North Dumping Site,26.84,2.17,8.1,2.49,9.3,4.92,18.3,7.04,26.2,10.23,38.1
2025-04-24,Ayawaso West,West Dumping Site,22.27,3.68,16.5,4.96,22.3,11.0,49.4,0.3,1.3,2.33,10.5
2025-04-25,Ablekuma North,North Dumping Site,26.73,6.51,24.4,6.9,25.8,1.03,3.9,5.39,20.2,6.91,25.9
2025-04-25,Ayawaso West,West Dumping Site,20.93,3.94,18.8,4.45,21.3,6.73,32.1,0.29,1.4,5.52,26.4
2025-04-26,Ablekuma North,North Dumping Site,23.06,0.5,2.2,8.6,37.3,3.5,15.2,4.42,19.2,6.05,26.2
2025-04-26,Ayawaso West,West Dumping Site,16.76,3.04,18.1,0.4,2.4,3.39,20.2,3.89,23.2,6.03,36.0
2025-04-27,Ablekuma North,North Dumping Site,21.89,2.35,10.7,3.18,14.5,7.31,33.4,5.95,27.2,3.1,14.2
2025-04-27,Ayawaso West,West Dumping Site,19.43,14.47,74.5,3.13,16.1,0.91,4.7,0.36,1.9,0.56,2.9
2025-04-28,Ablekuma North,North Dumping Site,23.05,1.54,6.7,2.51,10.9,1.42,6.2,16.95,73.5,0.62,2.7
2025-04-28,Ayawaso West,West Dumping Site,18.54,2.32,12.5,1.65,8.9,12.61,68.0,0.37,2.0,1.58,8.5
2025-04-29,Ablekuma North,North Dumping Site,23.27,0.78,3.4,4.59,19.7,11.01,47.3,3.38,14.5,3.52,15.1
2025-04-29,Ayawaso West,West Dumping Site,22.27,2.48,11.1,11.08,49.8,1.56,7.0,2.95,13.2,4.19,18.8
2025-04-30,Ablekuma North,North Dumping Site,20.12,1.0,5.0,7.76,38.6,2.8,13.9,7.17,35.6,1.38,6.9
2025-04-30,Ayawaso West,West Dumping Site,20.14,6.53,32.4,7.57,37.6,0.53,2.6,4.08,20.3,1.44,7.1
2025-05-01,Ablekuma North,North Dumping Site,28.02,1.87,6.7,7.27,25.9,9.07,32.4,5.75,20.5,4.05,14.5
2025-05-01,Ayawaso West,West Dumping Site,18.27,1.11,6.1,0.9,4.9,5.54,30.3,3.71,20.3,7.01,38.4
2025-05-02,Ablekuma North,North Dumping Site,26.11,13.83,53.0,0.99,3.8,0.34,1.3,6.71,25.7,4.24,16.2
2025-05-02,Ayawaso West,West Dumping Site,18.19,8.42,46.3,0.69,3.8,7.24,39.8,1.03,5.7,0.82,4.5
2025-05-03,Ablekuma North,North Dumping Site,26.18,5.88,22.5,3.98,15.2,2.39,9.1,11.26,43.0,2.68,10.2
2025-05-03,Ayawaso West,West Dumping Site,18.74,8.53,45.5,2.91,15.5,2.38,12.7,3.12,16.7,1.8,9.6
2025-05-04,Ablekuma North,North Dumping Site,25.06,1.07,4.3,9.29,37.1,1.96,7.8,3.17,12.7,9.57,38.2
2025-05-04,Ayawaso West,West Dumping Site,25.03,4.61,18.4,0.59,2.4,13.25,52.9,4.66,18.6,1.92,7.7
2025-05-05,Ablekuma North,North Dumping Site,26.02,4.42,17.0,3.48,13.4,10.25,39.4,7.1,27.3,0.75,2.9
2025-05-05,Ayawaso West,West Dumping Site,18.75,2.42,12.9,1.85,9.9,8.81,47.0,0.22,1.2,5.46,29.1
2025-05-06,Ablekuma North,North Dumping Site,26.44,2.59,9.8,10.67,40.4,0.73,2.8,11.61,43.9,0.84,3.2
2025-05-06,Ayawaso West,West Dumping Site,21.0,2.79,13.3,8.81,42.0,0.9,4.3,1.44,6.9,7.07,33.7
2025-05-07,Ablekuma North,North Dumping Site,27.61,11.35,41.1,7.5,27.2,2.78,10.1,4.06,14.7,1.92,7.0
2025-05-07,Ayawaso West,West Dumping Site,24.07,7.84,32.6,2.87,11.9,1.68,7.0,2.03,8.4,9.65,40.1
2025-05-08,Ablekuma North,North Dumping Site,25.84,2.84,11.0,3.81,14.7,0.07,0.3,8.28,32.0,10.83,41.9
2025-05-08,Ayawaso West,West Dumping Site,16.62,2.32,14.0,3.32,20.0,7.11,42.8,3.42,20.6,0.46,2.8
2025-05-09,Ablekuma North,North Dumping Site,30.65,2.17,7.1,5.24,17.1,10.69,34.9,10.2,33.3,2.35,7.7
2025-05-09,Ayawaso West,West Dumping Site,24.04,0.33,1.4,11.44,47.6,4.98,20.7,0.36,1.5,6.92,28.8
2025-05-10,Ablekuma North,North Dumping Site,25.17,6.45,25.6,3.67,14.6,0.41,1.6,2.94,11.7,11.7,46.5
2025-05-10,Ayawaso West,West Dumping Site,23.28,0.03,0.1,2.24,9.6,2.81,12.1,4.26,18.3,13.95,59.9
2025-05-11,Ablekuma North,North Dumping Site,21.13,9.59,45.4,4.31,20.4,1.82,8.6,4.32,20.4,1.09,5.2
2025-05-11,Ayawaso West,West Dumping Site,16.11,0.72,4.5,2.56,15.9,2.02,12.5,9.15,56.8,1.67,10.4
2025-05-12,Ablekuma North,North Dumping Site,30.55,0.09,0.3,7.07,23.1,1.27,4.2,21.07,69.0,1.04,3.4
2025-05-12,Ayawaso West,West Dumping Site,23.38,1.57,6.7,0.26,1.1,16.87,72.2,2.04,8.7,2.65,11.3
2025-05-13,Ablekuma North,North Dumping Site,25.04,1.97,7.9,19.08,76.2,1.92,7.7,1.77,7.1,0.31,1.2
2025-05-13,Ayawaso West,West Dumping Site,19.93,3.5,17.6,4.56,22.9,0.37,1.9,8.19,41.1,3.31,16.6
2025-05-14,Ablekuma North,North Dumping Site,17.05,2.37,13.9,3.8,22.3,0.78,4.6,0.93,5.5,9.17,53.8
2025-05-14,Ayawaso West,West Dumping Site,23.27,12.92,55.5,2.07,8.9,1.4,6.0,4.57,19.6,2.32,10.0
2025-05-15,Ablekuma North,North Dumping Site,27.81,0.46,1.7,4.17,15.0,4.36,15.7,18.49,66.5,0.33,1.2
2025-05-15,Ayawaso West,West Dumping Site,23.81,0.81,3.4,11.81,49.6,1.44,6.0,7.76,32.6,2.0,8.4
2025-05-16,Ablekuma North,North Dumping Site,24.28,4.71,19.4,7.12,29.3,6.52,26.9,1.86,7.7,4.06,16.7
2025-05-16,Ayawaso West,West Dumping Site,18.88,1.47,7.8,2.22,11.8,14.53,77.0,0.08,0.4,0.57,3.0
2025-05-17,Ablekuma North,North Dumping Site,25.98,2.73,10.5,11.15,42.9,8.5,32.7,2.09,8.0,1.5,5.8
2025-05-17,Ayawaso West,West Dumping Site,16.25,2.43,15.0,4.55,28.0,1.59,9.8,4.99,30.7,2.68,16.5
2025-05-18,Ablekuma North,North Dumping Site,18.75,0.94,5.0,8.02,42.8,3.9,20.8,0.41,2.2,5.49,29.3
2025-05-18,Ayawaso West,West Dumping Site,25.09,3.29,13.1,11.06,44.1,7.91,31.5,2.72,10.8,0.11,0.4
2025-05-19,Ablekuma North,North Dumping Site,25.92,3.51,13.5,1.04,4.0,0.52,2.0,6.3,24.3,14.55,56.1
2025-05-19,Ayawaso West,West Dumping Site,14.87,2.98,20.0,0.75,5.0,1.27,8.5,0.07,0.5,9.8,65.9
2025-05-20,Ablekuma North,North Dumping Site,25.59,1.96,7.7,4.94,19.3,6.45,25.2,10.83,42.3,1.41,5.5
2025-05-20,Ayawaso West,West Dumping Site,17.06,0.03,0.2,0.46,2.7,7.22,42.3,6.49,38.0,2.85,16.7
2025-05-21,Ablekuma North,North Dumping Site,30.0,1.31,4.4,16.73,55.8,3.69,12.3,3.29,11.0,4.98,16.6
2025-05-21,Ayawaso West,West Dumping Site,23.04,0.43,1.9,1.62,7.0,11.96,51.9,0.77,3.3,8.25,35.8
2025-05-22,Ablekuma North,North Dumping Site,23.17,2.44,10.5,3.14,13.6,9.08,39.2,2.52,10.9,5.98,25.8
2025-05-22,Ayawaso West,West Dumping Site,15.78,1.68,10.6,2.84,18.0,7.19,45.6,3.44,21.8,0.63,4.0
2025-05-23,Ablekuma North,North Dumping Site,23.27,4.45,19.1,5.89,25.3,2.64,11.3,9.56,41.1,0.73,3.1
2025-05-23,Ayawaso West,West Dumping Site,20.37,0.42,2.1,6.98,34.3,3.67,18.0,6.25,30.7,3.06,15.0
2025-05-24,Ablekuma North,North Dumping Site,27.12,9.79,36.1,7.23,26.7,1.94,7.2,5.44,20.1,2.73,10.1
2025-05-24,Ayawaso West,West Dumping Site,18.31,0.28,1.5,7.21,39.4,0.43,2.3,8.68,47.4,1.71,9.3
2025-05-25,Ablekuma North,North Dumping Site,25.53,7.24,28.4,4.62,18.1,5.76,22.6,3.77,14.8,4.14,16.2
2025-05-25,Ayawaso West,West Dumping Site,15.99,4.04,25.3,0.61,3.8,1.43,8.9,0.53,3.3,9.38,58.6
2025-05-26,Ablekuma North,North Dumping Site,26.29,1.1,4.2,4.66,17.7,13.71,52.2,0.19,0.7,6.63,25.2
2025-05-26,Ayawaso West,West Dumping Site,20.62,0.73,3.5,5.32,25.8,7.3,35.4,5.95,28.9,1.32,6.4
2025-05-27,Ablekuma North,North Dumping Site,25.08,2.87,11.4,13.2,52.6,0.28,1.1,6.78,27.0,1.95,7.8
2025-05-27,Ayawaso West,West Dumping Site,20.09,0.83,4.1,0.52,2.6,7.71,38.4,2.69,13.4,8.35,41.6
2025-05-28,Ablekuma North,North Dumping Site,24.44,3.22,13.2,6.5,26.6,1.6,6.5,4.09,16.7,9.03,36.9
2025-05-28,Ayawaso West,West Dumping Site,18.68,5.4,28.9,1.5,8.0,0.14,0.7,11.52,61.7,0.12,0.6
2025-05-29,Ablekuma North,North Dumping Site,25.25,5.66,22.4,3.25,12.9,12.51,49.6,0.87,3.4,2.95,11.7
2025-05-29,Ayawaso West,West Dumping Site,23.2,1.43,6.2,1.81,7.8,2.74,11.8,5.74,24.7,11.48,49.5
2025-05-30,Ablekuma North,North Dumping Site,23.66,4.77,20.2,11.67,49.3,2.38,10.1,1.02,4.3,3.82,16.1
2025-05-30,Ayawaso West,West Dumping Site,24.36,8.11,33.3,8.42,34.6,6.37,26.1,1.03,4.2,0.43,1.8
2025-05-31,Ablekuma North,North Dumping Site,24.9,1.88,7.6,4.42,17.8,0.96,3.9,11.64,46.8,6.0,24.1
2025-05-31,Ayawaso West,West Dumping Site,20.7,0.31,1.5,1.78,8.6,6.97,33.7,9.56,46.2,2.08,10.0
2025-06-01,Ablekuma North,North Dumping Site,21.63,10.4,48.1,0.58,2.7,6.29,29.1,2.31,10.7,2.06,9.5
2025-06-01,Ayawaso West,West Dumping Site,21.15,9.32,44.1,3.4,16.1,2.52,11.9,3.23,15.3,2.68,12.7
2025-06-02,Ablekuma North,North Dumping Site,23.09,0.1,0.4,5.9,25.6,3.65,15.8,4.46,19.3,8.97,38.9
2025-06-02,Ayawaso West,West Dumping Site,23.57,1.3,5.5,3.42,14.5,9.63,40.9,8.08,34.3,1.13,4.8
2025-06-03,Ablekuma North,North Dumping Site,23.34,2.05,8.8,6.23,26.7,7.27,31.1,7.02,30.1,0.78,3.3
2025-06-03,Ayawaso West,West Dumping Site,21.9,5.85,26.7,0.86,3.9,0.39,1.8,6.12,27.9,8.68,39.6
2025-06-04,Ablekuma North,North Dumping Site,25.86,9.34,36.1,7.02,27.1,0.8,3.1,4.61,17.8,4.09,15.8
2025-06-04,Ayawaso West,West Dumping Site,21.0,2.43,11.6,10.37,49.4,5.52,26.3,0.68,3.2,2.01,9.6
